split1,split2
"genus_Galeopsis","genus_Galeopsis"
"Galeorhinus","Galeorhinus"
"genus_Galeorhinus","genus_Galeorhinus"
"Galeras","Galeras"
"Pasto","Pasto"
"Galicia","Galicia"
"Galician","Galician"
"Galiella_rufa","Galiella_rufa"
"Galilean","Galilean"
"Galilaean","Galilaean"
"Galilean_satellite","Galilean_satellite"
"Galilean","Galilean"
"Galilean_telescope","Galilean_telescope"
"Galilee","Galilee"
"Galileo","Galileo"
"Galileo_Galilei","Galileo_Galilei"
"Galium","Galium"
"genus_Galium","genus_Galium"
"Gallant_Fox","Gallant_Fox"
"Gallaudet","Gallaudet"
"Thomas_Hopkins_Gallaudet","Thomas_Hopkins_Gallaudet"
"Galleria","Galleria"
"genus_Galleria","genus_Galleria"
"Galliano","Galliano"
"Gallicanism","Gallicanism"
"Gallicism","Gallicism"
"Galliformes","Galliformes"
"order_Galliformes","order_Galliformes"
"Gallinula","Gallinula"
"genus_Gallinula","genus_Gallinula"
"Gallirallus","Gallirallus"
"genus_Gallirallus","genus_Gallirallus"
"Galloway","Galloway"
"Galloway","Galloway"
"Gallup","Gallup"
"brace","brace"
"suspender","suspender"
"gallus","gallus"
"Gallus","Gallus"
"genus_Gallus","genus_Gallus"
"Galois","Galois"
"Evariste_Galois","Evariste_Galois"
"Galois_theory","Galois_theory"
"Galsworthy","Galsworthy"
"John_Galsworthy","John_Galsworthy"
"Galton","Galton"
"Francis_Galton","Francis_Galton"
"Sir_Francis_Galton","Sir_Francis_Galton"
"Galvani","Galvani"
"Luigi_Galvani","Luigi_Galvani"
"Galveston","Galveston"
"Galveston_Bay","Galveston_Bay"
"Galveston_Island","Galveston_Island"
"Galway","Galway"
"Galway_Bay","Galway_Bay"
"Gambelia","Gambelia"
"genus_Gambelia","genus_Gambelia"
"Gambia","Gambia"
"The_Gambia","The_Gambia"
"Republic_of_The_Gambia","Republic_of_The_Gambia"
"Gambian","Gambian"
"Gambian_monetary_unit","Gambian_monetary_unit"
"Gambier_Islands","Gambier_Islands"
"Gambusia","Gambusia"
"genus_Gambusia","genus_Gambusia"
"Gamow","Gamow"
"George_Gamow","George_Gamow"
"Gan_Jiang","Gan_Jiang"
"Kan_River","Kan_River"
"Gandhi","Gandhi"
"Indira_Gandhi","Indira_Gandhi"
"Indira_Nehru_Gandhi","Indira_Nehru_Gandhi"
"Mrs._Gandhi","Mrs._Gandhi"
"Gandhi","Gandhi"
"Mahatma_Gandhi","Mahatma_Gandhi"
"Mohandas_Karamchand_Gandhi","Mohandas_Karamchand_Gandhi"
"Ganesh","Ganesh"
"Ganesa","Ganesa"
"Ganesha","Ganesha"
"Ganapati","Ganapati"
"Ganges","Ganges"
"Ganges_River","Ganges_River"
"Ganoidei","Ganoidei"
"order_Ganoidei","order_Ganoidei"
"Gansu","Gansu"
"Kansu","Kansu"
"Gansu_province","Gansu_province"
"Ganymede","Ganymede"
"Ganymede","Ganymede"
"Garand_rifle","Garand_rifle"
"Garand","Garand"
"M-1","M-1"
"M-1_rifle","M-1_rifle"
"Garbo","Garbo"
"Greta_Garbo","Greta_Garbo"
"Greta_Louisa_Gustafsson","Greta_Louisa_Gustafsson"
"Garcia_Lorca","Garcia_Lorca"
"Frederico_Garcia_Lorca","Frederico_Garcia_Lorca"
"Lorca","Lorca"
"Garcinia","Garcinia"
"genus_Garcinia","genus_Garcinia"
"Gardiner","Gardiner"
"Samuel_Rawson_Gardiner","Samuel_Rawson_Gardiner"
"Gardner","Gardner"
"Isabella_Stewart_Gardner","Isabella_Stewart_Gardner"
"Gardner","Gardner"
"Erle_Stanley_Gardner","Erle_Stanley_Gardner"
"Garfield","Garfield"
"James_Garfield","James_Garfield"
"James_A._Garfield","James_A._Garfield"
"James_Abraham_Garfield","James_Abraham_Garfield"
"President_Garfield","President_Garfield"
"Gargantua","Gargantua"
"Garibaldi","Garibaldi"
"Giuseppe_Garibaldi","Giuseppe_Garibaldi"
"garibaldi","garibaldi"
"Garland","Garland"
"Judy_Garland","Judy_Garland"
"Garland","Garland"
"florilegium","florilegium"
"garland","garland"
"miscellany","miscellany"
"wreath","wreath"
"garland","garland"
"coronal","coronal"
"chaplet","chaplet"
"lei","lei"
"Garnier","Garnier"
"Jean_Louis_Charles_Garnier","Jean_Louis_Charles_Garnier"
"Garonne","Garonne"
"Garonne_River","Garonne_River"
"Garrick","Garrick"
"David_Garrick","David_Garrick"
"garrison","garrison"
"fort","fort"
"Garrison","Garrison"
"William_Lloyd_Garrison","William_Lloyd_Garrison"
"garrison","garrison"
"Garrulinae","Garrulinae"
"subfamily_Garrulinae","subfamily_Garrulinae"
"Garrulus","Garrulus"
"genus_Garrulus","genus_Garrulus"
"Garuda","Garuda"
"Gary","Gary"
"Gascogne","Gascogne"
"Gascony","Gascony"
"Gasherbrum","Gasherbrum"
"Gaskell","Gaskell"
"Elizabeth_Gaskell","Elizabeth_Gaskell"
"Elizabeth_Cleghorn_Stevenson_Gaskell","Elizabeth_Cleghorn_Stevenson_Gaskell"
"Gasteromycetes","Gasteromycetes"
"class_Gasteromycetes","class_Gasteromycetes"
"Gastromycetes","Gastromycetes"
"class_Gastromycetes","class_Gastromycetes"
"Gasterophilidae","Gasterophilidae"
"family_Gasterophilidae","family_Gasterophilidae"
"Gasterophilus","Gasterophilus"
"genus_Gasterophilus","genus_Gasterophilus"
"Gasterosteidae","Gasterosteidae"
"family_Gasterosteidae","family_Gasterosteidae"
"Gasterosteus","Gasterosteus"
"genus_gasterosteus","genus_gasterosteus"
"Gastroboletus","Gastroboletus"
"genus_Gastroboletus","genus_Gastroboletus"
"Gastroboletus_scabrosus","Gastroboletus_scabrosus"
"Gastroboletus_turbinatus","Gastroboletus_turbinatus"
"Gastrocybe","Gastrocybe"
"genus_Gastrocybe","genus_Gastrocybe"
"Gastrocybe_lateritia","Gastrocybe_lateritia"
"Gastrophryne","Gastrophryne"
"genus_Gastrophryne","genus_Gastrophryne"
"Gastropoda","Gastropoda"
"class_Gastropoda","class_Gastropoda"
"Gasteropoda","Gasteropoda"
"class_Gasteropoda","class_Gasteropoda"
"Gates","Gates"
"Bill_Gates","Bill_Gates"
"William_Henry_Gates","William_Henry_Gates"
"Gates_of_the_Arctic_National_Park","Gates_of_the_Arctic_National_Park"
"Gathic","Gathic"
"Gatling","Gatling"
"Richard_Jordan_Gatling","Richard_Jordan_Gatling"
"Gatling_gun","Gatling_gun"
"Gaucher's_disease","Gaucher's_disease"
"Gaudi","Gaudi"
"Antonio_Gaudi","Antonio_Gaudi"
"Gaudi_i_Cornet","Gaudi_i_Cornet"
"Antonio_Gaudi_i_Cornet","Antonio_Gaudi_i_Cornet"
"Gauguin","Gauguin"
"Paul_Gauguin","Paul_Gauguin"
"frog","frog"
"Gaul","Gaul"
"Gaul","Gaul"
"Gaul","Gaul"
"Gallia","Gallia"
"Gaultheria","Gaultheria"
"genus_Gaultheria","genus_Gaultheria"
"Gauri","Gauri"
"gauss","gauss"
"Gauss","Gauss"
"Karl_Gauss","Karl_Gauss"
"Karl_Friedrich_Gauss","Karl_Friedrich_Gauss"
"Gavia","Gavia"
"genus_Gavia","genus_Gavia"
"Gavialidae","Gavialidae"
"family_Gavialidae","family_Gavialidae"
"Gavialis","Gavialis"
"genus_Gavialis","genus_Gavialis"
"Gavidae","Gavidae"
"family_Gavidae","family_Gavidae"
"Gaviiformes","Gaviiformes"
"order_Gaviiformes","order_Gaviiformes"
"Gawain","Gawain"
"Sir_Gawain","Sir_Gawain"
"Gay-Lussac","Gay-Lussac"
"Joseph_Louis_Gay-Lussac","Joseph_Louis_Gay-Lussac"
"Gay-Lussac's_law","Gay-Lussac's_law"
"Charles's_law","Charles's_law"
"law_of_volumes","law_of_volumes"
"Gaylussacia","Gaylussacia"
"genus_Gaylussacia","genus_Gaylussacia"
"Gaza_Strip","Gaza_Strip"
"Gaza","Gaza"
"Gazella","Gazella"
"genus_Gazella","genus_Gazella"
"Gazella_subgutturosa","Gazella_subgutturosa"
"Gdansk","Gdansk"
"Danzig","Danzig"
"Geastraceae","Geastraceae"
"family_Geastraceae","family_Geastraceae"
"Geastrum","Geastrum"
"genus_Geastrum","genus_Geastrum"
"Geastrum_coronatum","Geastrum_coronatum"
"Geb","Geb"
"Keb","Keb"
"Geglossaceae","Geglossaceae"
"Gehenna","Gehenna"
"Tartarus","Tartarus"
"Gehrig","Gehrig"
"Lou_Gehrig","Lou_Gehrig"
"Henry_Louis_Gehrig","Henry_Louis_Gehrig"
"Geiger","Geiger"
"Hans_Geiger","Hans_Geiger"
"Geiger_counter","Geiger_counter"
"Geiger-Muller_counter","Geiger-Muller_counter"
"Geiger_tube","Geiger_tube"
"Geiger-Muller_tube","Geiger-Muller_tube"
"Geisel","Geisel"
"Theodor_Seuss_Geisel","Theodor_Seuss_Geisel"
"Dr._Seuss","Dr._Seuss"
"Gekkonidae","Gekkonidae"
"family_Gekkonidae","family_Gekkonidae"
"Gelechia","Gelechia"
"genus_Gelechia","genus_Gelechia"
"pink_bollworm","pink_bollworm"
"Gelechia_gossypiella","Gelechia_gossypiella"
"Gelechia_gossypiella","Gelechia_gossypiella"
"Gelechiidae","Gelechiidae"
"family_Gelechiidae","family_Gelechiidae"
"Gell-Mann","Gell-Mann"
"Murray_Gell-Mann","Murray_Gell-Mann"
"Gelsemium","Gelsemium"
"genus_Gelsemium","genus_Gelsemium"
"Gemara","Gemara"
"Gemini","Gemini"
"Twin","Twin"
"Gemini","Gemini"
"Gemini","Gemini"
"Gemini_the_Twins","Gemini_the_Twins"
"Twins","Twins"
"Gemini_program","Gemini_program"
"Gempylidae","Gempylidae"
"family_Gempylidae","family_Gempylidae"
"Gempylus","Gempylus"
"genus_Gempylus","genus_Gempylus"
"General_Agreement_on_Tariffs_and_Trade","General_Agreement_on_Tariffs_and_Trade"
"GATT","GATT"
"General_Assembly","General_Assembly"
"legislature","legislature"
"legislative_assembly","legislative_assembly"
"legislative","legislative"
"general_assembly","general_assembly"
"law-makers","law-makers"
"General_Services_Administration","General_Services_Administration"
"GSA","GSA"
"genesis","genesis"
"generation","generation"
"Genesis","Genesis"
"Book_of_Genesis","Book_of_Genesis"
"Genet","Genet"
"Edmund_Charles_Edouard_Genet","Edmund_Charles_Edouard_Genet"
"Citizen_Genet","Citizen_Genet"
"Genet","Genet"
"Jean_Genet","Jean_Genet"
"genet","genet"
"Genetta_genetta","Genetta_genetta"
"Genetta","Genetta"
"genus_Genetta","genus_Genetta"
"Geneva","Geneva"
"Geneve","Geneve"
"Genf","Genf"
"geneva","geneva"
"Holland_gin","Holland_gin"
"Hollands","Hollands"
"Geneva_Convention","Geneva_Convention"
"Geneva_gown","Geneva_gown"
"Genevan","Genevan"
"Genghis_Khan","Genghis_Khan"
"Jinghis_Khan","Jinghis_Khan"
"Jenghiz_Khan","Jenghiz_Khan"
"Temujin","Temujin"
"Genista","Genista"
"genus_Genista","genus_Genista"
"Genoa","Genoa"
"Genova","Genova"
"Genoese","Genoese"
"Genseric","Genseric"
"Gaiseric","Gaiseric"
"gent","gent"
"chap","chap"
"fellow","fellow"
"feller","feller"
"lad","lad"
"gent","gent"
"fella","fella"
"blighter","blighter"
"cuss","cuss"
"Gent","Gent"
"Gand","Gand"
"Ghent","Ghent"
"Gentiana","Gentiana"
"genus_Gentiana","genus_Gentiana"
"Gentianaceae","Gentianaceae"
"family_Gentianaceae","family_Gentianaceae"
"gentian_family","gentian_family"
"Gentianales","Gentianales"
"order_Gentianales","order_Gentianales"
"Gentianella","Gentianella"
"genus_Gentianella","genus_Gentianella"
"gentianella","gentianella"
"Gentiana_acaulis","Gentiana_acaulis"
"Gentianopsid_procera","Gentianopsid_procera"
"Gentiana_procera","Gentiana_procera"
"Gentianopsis","Gentianopsis"
"genus_Gentianopsis","genus_Gentianopsis"
"Gentianopsis_crinita","Gentianopsis_crinita"
"Gentiana_crinita","Gentiana_crinita"
"Gentianopsis_detonsa","Gentianopsis_detonsa"
"Gentiana_detonsa","Gentiana_detonsa"
"Gentianopsis_thermalis","Gentianopsis_thermalis"
"Gentiana_thermalis","Gentiana_thermalis"
"Genyonemus","Genyonemus"
"genus_Genyonemus","genus_Genyonemus"
"Geochelone","Geochelone"
"genus_Geochelone","genus_Geochelone"
"Geococcyx","Geococcyx"
"genus_Geococcyx","genus_Geococcyx"
"Geoffrey_of_Monmouth","Geoffrey_of_Monmouth"
"Geoffroea","Geoffroea"
"genus_Geoffroea","genus_Geoffroea"
"Geogia_holly","Geogia_holly"
"Geoglossaceae","Geoglossaceae"
"family_Geoglossaceae","family_Geoglossaceae"
"Geoglossum","Geoglossum"
"genus_Geoglossum","genus_Geoglossum"
"Geometridae","Geometridae"
"family_Geometridae","family_Geometridae"
"Geomyidae","Geomyidae"
"family_Geomyidae","family_Geomyidae"
"Geomys","Geomys"
"genus_Geomys","genus_Geomys"
"Geophilidae","Geophilidae"
"family_Geophilidae","family_Geophilidae"
"Geophilomorpha","Geophilomorpha"
"order_Geophilomorpha","order_Geophilomorpha"
"Geophilus","Geophilus"
"genus_Geophilus","genus_Geophilus"
"Geordie","Geordie"
"geordie","geordie"
"George","George"
"Saint_George","Saint_George"
"St._George","St._George"
"George","George"
"George_VI","George_VI"
"George","George"
"George_V","George_V"
"George","George"
"George_IV","George_IV"
"George","George"
"George_III","George_III"
"George","George"
"George_II","George_II"
"George","George"
"George_I","George_I"
"George_Town","George_Town"
"George_Washington_Bridge","George_Washington_Bridge"
"Georgetown","Georgetown"
"Georgetown","Georgetown"
"Stabroek","Stabroek"
"Georgia","Georgia"
"Empire_State_of_the_South","Empire_State_of_the_South"
"Peach_State","Peach_State"
"GA","GA"
"Georgia","Georgia"
"Georgia","Georgia"
"Sakartvelo","Sakartvelo"
"Georgian","Georgian"
"Georgian","Georgian"
"Georgian","Georgian"
"Georgian_monetary_unit","Georgian_monetary_unit"
"Geothlypis","Geothlypis"
"genus_Geothlypis","genus_Geothlypis"
"Geraint","Geraint"
"Sir_Geraint","Sir_Geraint"
"Geraniaceae","Geraniaceae"
"family_Geraniaceae","family_Geraniaceae"
"geranium_family","geranium_family"
"Geraniales","Geraniales"
"order_Geraniales","order_Geraniales"
"Gerbera","Gerbera"
"genus_Gerbera","genus_Gerbera"
"Gerbillinae","Gerbillinae"
"subfamily_Gerbillinae","subfamily_Gerbillinae"
"Gerbillus","Gerbillus"
"genus_Gerbillus","genus_Gerbillus"
"Gerea","Gerea"
"genus_Gerea","genus_Gerea"
"German","German"
"German","German"
"High_German","High_German"
"German_language","German_language"
"German_American","German_American"
"German_cockroach","German_cockroach"
"Croton_bug","Croton_bug"
"crotonbug","crotonbug"
"water_bug","water_bug"
"Blattella_germanica","Blattella_germanica"
"German_iris","German_iris"
"Iris_kochii","Iris_kochii"
"German_iris","German_iris"
"Iris_germanica","Iris_germanica"
"German_ivy","German_ivy"
"Delairea_odorata","Delairea_odorata"
"Senecio_milkanioides","Senecio_milkanioides"
"German_lesson","German_lesson"
"German_measles","German_measles"
"rubella","rubella"
"three-day_measles","three-day_measles"
"epidemic_roseola","epidemic_roseola"
"German_millet","German_millet"
"golden_wonder_millet","golden_wonder_millet"
"Setaria_italica_stramineofructa","Setaria_italica_stramineofructa"
"German_monetary_unit","German_monetary_unit"
"German_short-haired_pointer","German_short-haired_pointer"
"Germanic","Germanic"
"Germanic_language","Germanic_language"
"Germanism","Germanism"
"Germanist","Germanist"
"Germany","Germany"
"Federal_Republic_of_Germany","Federal_Republic_of_Germany"
"Deutschland","Deutschland"
"FRG","FRG"
"Germinal","Germinal"
"Geronimo","Geronimo"
"Gerreidae","Gerreidae"
"family_Gerreidae","family_Gerreidae"
"Gerridae","Gerridae"
"family_Gerridae","family_Gerridae"
"Gerres","Gerres"
"genus_Gerres","genus_Gerres"
"Gerrhonotus","Gerrhonotus"
"genus_Gerrhonotus","genus_Gerrhonotus"
"Gerrididae","Gerrididae"
"family_Gerrididae","family_Gerrididae"
"Gerridae","Gerridae"
"family_Gerridae","family_Gerridae"
"Gerris","Gerris"
"genus_Gerris","genus_Gerris"
"Gershwin","Gershwin"
"Ira_Gershwin","Ira_Gershwin"
"Gershwin","Gershwin"
"George_Gershwin","George_Gershwin"
"Geryon","Geryon"
"Gesell","Gesell"
"Arnold_Gesell","Arnold_Gesell"
"Arnold_Lucius_Gesell","Arnold_Lucius_Gesell"
"Gesner","Gesner"
"Konrad_von_Gesner","Konrad_von_Gesner"
"Gesneriaceae","Gesneriaceae"
"family_Gesneriaceae","family_Gesneriaceae"
"gesneria_family","gesneria_family"
"Gestalt_law_of_organization","Gestalt_law_of_organization"
"Gestalt_principle_of_organization","Gestalt_principle_of_organization"
"Gestalt_psychology","Gestalt_psychology"
"configurationism","configurationism"
"Gestapo","Gestapo"
"Gettysburg","Gettysburg"
"Gettysburg","Gettysburg"
"Battle_of_Gettysburg","Battle_of_Gettysburg"
"Gettysburg_Address","Gettysburg_Address"
"Geum","Geum"
"genus_Geum","genus_Geum"
"Ghana","Ghana"
"Republic_of_Ghana","Republic_of_Ghana"
"Gold_Coast","Gold_Coast"
"Ghanian","Ghanian"
"Ghanian_monetary_unit","Ghanian_monetary_unit"
"Ghedda_wax","Ghedda_wax"
"Gheg","Gheg"
"Gheg_dialect","Gheg_dialect"
"Giacometti","Giacometti"
"Alberto_Giacometti","Alberto_Giacometti"
"Gibbon","Gibbon"
"Edward_Gibbon","Edward_Gibbon"
"gibbon","gibbon"
"Hylobates_lar","Hylobates_lar"
"Gibbs","Gibbs"
"Josiah_Willard_Gibbs","Josiah_Willard_Gibbs"
"Gibraltar","Gibraltar"
"Rock_of_Gibraltar","Rock_of_Gibraltar"
"Calpe","Calpe"
"Gibraltarian","Gibraltarian"
"Gibran","Gibran"
"Kahlil_Gibran","Kahlil_Gibran"
"Gibson","Gibson"
"C._D._Gibson","C._D._Gibson"
"Charles_Dana_Gibson","Charles_Dana_Gibson"
"Gibson","Gibson"
"Mel_Gibson","Mel_Gibson"
"Mel_Columcille_Gerard_Gibson","Mel_Columcille_Gerard_Gibson"
"Gibson","Gibson"
"Althea_Gibson","Althea_Gibson"
"Gibson_Desert","Gibson_Desert"
"Gibson_girl","Gibson_girl"
"Gidar","Gidar"
"Gide","Gide"
"Andre_Gide","Andre_Gide"
"Andre_Paul_Guillaume_Gide","Andre_Paul_Guillaume_Gide"
"Gielgud","Gielgud"
"Sir_John_Gielgud","Sir_John_Gielgud"
"Arthur_John_Gielgud","Arthur_John_Gielgud"
"Gigartinaceae","Gigartinaceae"
"family_Gigartinaceae","family_Gigartinaceae"
"Gikuyu","Gikuyu"
"Gila","Gila"
"Gila_River","Gila_River"
"Gila_Desert","Gila_Desert"
"Gila_monster","Gila_monster"
"Heloderma_suspectum","Heloderma_suspectum"
"gilbert","gilbert"
"Gb","Gb"
"Gi","Gi"
"Gilbert","Gilbert"
"William_Gilbert","William_Gilbert"
"William_S._Gilbert","William_S._Gilbert"
"William_Schwenk_Gilbert","William_Schwenk_Gilbert"
"Sir_William_Gilbert","Sir_William_Gilbert"
"Gilbert","Gilbert"
"William_Gilbert","William_Gilbert"
"Gilbert","Gilbert"
"Humphrey_Gilbert","Humphrey_Gilbert"
"Sir_Humphrey_Gilbert","Sir_Humphrey_Gilbert"
"Gilbert","Gilbert"
"Cass_Gilbert","Cass_Gilbert"
"Gilbert_Islands","Gilbert_Islands"
"Gilbert_and_Ellice_Islands","Gilbert_and_Ellice_Islands"
"Gilbert_and_Sullivan","Gilbert_and_Sullivan"
"Gilgamesh","Gilgamesh"
"Gilgamish","Gilgamish"
"Gillespie","Gillespie"
"Dizzy_Gillespie","Dizzy_Gillespie"
"John_Birks_Gillespie","John_Birks_Gillespie"
"Gillette","Gillette"
"King_Camp_Gilette","King_Camp_Gilette"
"Gilman","Gilman"
"Charlotte_Anna_Perkins_Gilman","Charlotte_Anna_Perkins_Gilman"
"Gilmer","Gilmer"
"Elizabeth_Merriwether_Gilmer","Elizabeth_Merriwether_Gilmer"
"Dorothy_Dix","Dorothy_Dix"
"Ginglymostoma","Ginglymostoma"
"genus_Ginglymostoma","genus_Ginglymostoma"
"Ginkgoaceae","Ginkgoaceae"
"family_Ginkgoaceae","family_Ginkgoaceae"
"ginkgo_family","ginkgo_family"
"Ginkgoales","Ginkgoales"
"order_Ginkgoales","order_Ginkgoales"
"Ginkgopsida","Ginkgopsida"
"class_Ginkgopsida","class_Ginkgopsida"
"Ginkgophytina","Ginkgophytina"
"class_Ginkgophytina","class_Ginkgophytina"
"subdivision_Ginkgophytina","subdivision_Ginkgophytina"
"subdivision_Ginkgophyta","subdivision_Ginkgophyta"
"Ginsberg","Ginsberg"
"Allen_Ginsberg","Allen_Ginsberg"
"Giotto","Giotto"
"Giotto_di_Bondone","Giotto_di_Bondone"
"Giraffa","Giraffa"
"genus_Giraffa","genus_Giraffa"
"Giraffidae","Giraffidae"
"family_Giraffidae","family_Giraffidae"
"Girard","Girard"
"Stephen_Girard","Stephen_Girard"
"Giraudoux","Giraudoux"
"Jean_Giraudoux","Jean_Giraudoux"
"Hippolyte_Jean_Giraudoux","Hippolyte_Jean_Giraudoux"
"Giriama","Giriama"
"Girl_Scout","Girl_Scout"
"Girl_Scouts","Girl_Scouts"
"Gironde","Gironde"
"Girondism","Girondism"
"Girondist","Girondist"
"Girondin","Girondin"
"Girru","Girru"
"Gish","Gish"
"Lillian_Gish","Lillian_Gish"
"Giza","Giza"
"El_Giza","El_Giza"
"Gizeh","Gizeh"
"Gjellerup","Gjellerup"
"Karl_Gjellerup","Karl_Gjellerup"
"Gladstone","Gladstone"
"William_Gladstone","William_Gladstone"
"William_Ewart_Gladstone","William_Ewart_Gladstone"
"portmanteau","portmanteau"
"Gladstone","Gladstone"
"Gladstone_bag","Gladstone_bag"
"Glareola","Glareola"
"genus_Glareola","genus_Glareola"
"Glareolidae","Glareolidae"
"family_Glareolidae","family_Glareolidae"
"Glaser","Glaser"
"Donald_Glaser","Donald_Glaser"
"Donald_Arthur_Glaser","Donald_Arthur_Glaser"
"Glasgow","Glasgow"
"Glaswegian","Glaswegian"
"Glauber's_salt","Glauber's_salt"
"Glauber's_salts","Glauber's_salts"
"Glaucium","Glaucium"
"genus_Glaucium","genus_Glaucium"
"Glaucomys","Glaucomys"
"genus_Glaucomys","genus_Glaucomys"
"Glaux","Glaux"
"genus_Glaux","genus_Glaux"
"Glechoma","Glechoma"
"genus_Glechoma","genus_Glechoma"
"Gleditsia","Gleditsia"
"genus_Gleditsia","genus_Gleditsia"
"Gleichenia","Gleichenia"
"genus_Gleichenia","genus_Gleichenia"
"Gleicheniaceae","Gleicheniaceae"
"family_Gleicheniaceae","family_Gleicheniaceae"
"Glen_Canyon_Dam","Glen_Canyon_Dam"
"Glendower","Glendower"
"Owen_Glendower","Owen_Glendower"
"Glengarry","Glengarry"
"Glenn","Glenn"
"John_Glenn","John_Glenn"
"John_Herschel_Glenn_Jr.","John_Herschel_Glenn_Jr."
"Glinka","Glinka"
"Mikhail_Glinka","Mikhail_Glinka"
"Mikhail_Ivanovich_Glinka","Mikhail_Ivanovich_Glinka"
"Gliridae","Gliridae"
"family_Gliridae","family_Gliridae"
"Glis","Glis"
"genus_Glis","genus_Glis"
"Global_Positioning_System","Global_Positioning_System"
"GPS","GPS"
"Globicephala","Globicephala"
"genus_Globicephala","genus_Globicephala"
"Globigerinidae","Globigerinidae"
"family_Globigerinidae","family_Globigerinidae"
"Glossinidae","Glossinidae"
"family_Glossinidae","family_Glossinidae"
"Glossodia","Glossodia"
"genus_Glossodia","genus_Glossodia"
"Glossopsitta","Glossopsitta"
"genus_Glossopsitta","genus_Glossopsitta"
"Gloucester","Gloucester"
"Gloucester","Gloucester"
"Gloucestershire","Gloucestershire"
"Gluck","Gluck"
"Christoph_Willibald_von_Gluck","Christoph_Willibald_von_Gluck"
"Glyceria","Glyceria"
"genus_Glyceria","genus_Glyceria"
"glycine","glycine"
"Glycine","Glycine"
"genus_Glycine","genus_Glycine"
"Glycyrrhiza","Glycyrrhiza"
"genus_Glycyrrhiza","genus_Glycyrrhiza"
"Gnaphalium","Gnaphalium"
"genus_Gnaphalium","genus_Gnaphalium"
"Gnathostomata","Gnathostomata"
"superclass_Gnathostomata","superclass_Gnathostomata"
"Gnetaceae","Gnetaceae"
"family_Gnetaceae","family_Gnetaceae"
"Gnetales","Gnetales"
"order_Gnetales","order_Gnetales"
"Gnetopsida","Gnetopsida"
"class_Gnetopsida","class_Gnetopsida"
"Gnetophytina","Gnetophytina"
"subdivision_Gnetophytina","subdivision_Gnetophytina"
"Gnetophyta","Gnetophyta"
"Gnostic","Gnostic"
"Gnosticism","Gnosticism"
"Go_Fish","Go_Fish"
"Goa","Goa"
"Gobi","Gobi"
"Gobi_Desert","Gobi_Desert"
"Gobiesocidae","Gobiesocidae"
"family_Gobiesocidae","family_Gobiesocidae"
"Gobiesox","Gobiesox"
"genus_Gobiesox","genus_Gobiesox"
"Gobiidae","Gobiidae"
"family_Gobiidae","family_Gobiidae"
"Gobio","Gobio"
"genus_Gobio","genus_Gobio"
"God","God"
"Supreme_Being","Supreme_Being"
"deity","deity"
"divinity","divinity"
"god","god"
"immortal","immortal"
"god","god"
"idol","idol"
"graven_image","graven_image"
"god","god"
"God's_Will","God's_Will"
"God's_Wisdom","God's_Wisdom"
"Godard","Godard"
"Jean_Luc_Godard","Jean_Luc_Godard"
"Goddard","Goddard"
"Robert_Hutchings_Goddard","Robert_Hutchings_Goddard"
"Godel","Godel"
"Kurt_Godel","Kurt_Godel"
"Godhead","Godhead"
"Lord","Lord"
"Creator","Creator"
"Maker","Maker"
"Divine","Divine"
"God_Almighty","God_Almighty"
"Almighty","Almighty"
"Jehovah","Jehovah"
"Godiva","Godiva"
"Lady_Godiva","Lady_Godiva"
"Godspeed","Godspeed"
"Godunov","Godunov"
"Boris_Godunov","Boris_Godunov"
"Boris_Fyodorovich_Godunov","Boris_Fyodorovich_Godunov"
"Goebbels","Goebbels"
"Joseph_Goebbels","Joseph_Goebbels"
"Paul_Joseph_Goebbels","Paul_Joseph_Goebbels"
"Goethals","Goethals"
"George_Washington_Goethals","George_Washington_Goethals"
"Goethe","Goethe"
"Johann_Wolfgang_von_Goethe","Johann_Wolfgang_von_Goethe"
"Gog_and_Magog","Gog_and_Magog"
"Gogol","Gogol"
"Nikolai_Vasilievich_Gogol","Nikolai_Vasilievich_Gogol"
"Golan_Heights","Golan_Heights"
"Golan","Golan"
"Golconda","Golconda"
"Goldberg","Goldberg"
"Rube_Goldberg","Rube_Goldberg"
"Reuben_Lucius_Goldberg","Reuben_Lucius_Goldberg"
"golden_age","golden_age"
"golden_age","golden_age"
"Golden_Age","Golden_Age"
"Golden_Delicious","Golden_Delicious"
"Yellow_Delicious","Yellow_Delicious"
"Golden_Fleece","Golden_Fleece"
"Golden_Gate","Golden_Gate"
"Golden_Gate_Bridge","Golden_Gate_Bridge"
"Golden_Horde","Golden_Horde"
"golden_rule","golden_rule"
"Golden_Rule","Golden_Rule"
"Goldie's_fern","Goldie's_fern"
"Goldie's_shield_fern","Goldie's_shield_fern"
"goldie's_wood_fern","goldie's_wood_fern"
"Dryopteris_goldiana","Dryopteris_goldiana"
"Golding","Golding"
"William_Golding","William_Golding"
"Sir_William_Gerald_Golding","Sir_William_Gerald_Golding"
"Goldman","Goldman"
"Emma_Goldman","Emma_Goldman"
"Goldmark","Goldmark"
"Peter_Goldmark","Peter_Goldmark"
"Peter_Carl_Goldmark","Peter_Carl_Goldmark"
"Goldoni","Goldoni"
"Carlo_Goldoni","Carlo_Goldoni"
"Goldsboro","Goldsboro"
"goldsmith","goldsmith"
"goldworker","goldworker"
"gold-worker","gold-worker"
"Goldsmith","Goldsmith"
"Oliver_Goldsmith","Oliver_Goldsmith"
