split1,split2
"Acanthocereus","Acanthocereus"
"genus_Acanthocereus","genus_Acanthocereus"
"Acanthocybium","Acanthocybium"
"genus_Acanthocybium","genus_Acanthocybium"
"Acanthophis","Acanthophis"
"genus_Acanthophis","genus_Acanthophis"
"Acanthopterygii","Acanthopterygii"
"superorder_Acanthopterygii","superorder_Acanthopterygii"
"Acanthoscelides","Acanthoscelides"
"genus_Acanthoscelides","genus_Acanthoscelides"
"Acanthuridae","Acanthuridae"
"family_Acanthuridae","family_Acanthuridae"
"Acanthurus","Acanthurus"
"genus_Acanthurus","genus_Acanthurus"
"Acapulco","Acapulco"
"Acapulco_de_Juarez","Acapulco_de_Juarez"
"Acapulco_gold","Acapulco_gold"
"Mexican_green","Mexican_green"
"Acaridae","Acaridae"
"family_Acaridae","family_Acaridae"
"Acarina","Acarina"
"order_Acarina","order_Acarina"
"Accipiter","Accipiter"
"genus_Accipiter","genus_Accipiter"
"Accipitridae","Accipitridae"
"family_Accipitridae","family_Accipitridae"
"Accipitriformes","Accipitriformes"
"order_Accipitriformes","order_Accipitriformes"
"Accra","Accra"
"capital_of_Ghana","capital_of_Ghana"
"Acer","Acer"
"genus_Acer","genus_Acer"
"Aceraceae","Aceraceae"
"family_Aceraceae","family_Aceraceae"
"maple_family","maple_family"
"Achaean","Achaean"
"Achaian","Achaian"
"Acheron","Acheron"
"River_Acheron","River_Acheron"
"Acherontia","Acherontia"
"genus_Acherontia","genus_Acherontia"
"Acheson","Acheson"
"Dean_Acheson","Dean_Acheson"
"Dean_Gooderham_Acheson","Dean_Gooderham_Acheson"
"Acheson_process","Acheson_process"
"Acheta","Acheta"
"genus_Acheta","genus_Acheta"
"Achilles","Achilles"
"Achilles'_heel","Achilles'_heel"
"Achilles_tendon","Achilles_tendon"
"tendon_of_Achilles","tendon_of_Achilles"
"Achoerodus","Achoerodus"
"genus_Achoerodus","genus_Achoerodus"
"Achomawi","Achomawi"
"Achomawi","Achomawi"
"Achras","Achras"
"genus_Achras","genus_Achras"
"Acinonyx","Acinonyx"
"genus_Acinonyx","genus_Acinonyx"
"Acinos","Acinos"
"genus_Acinos","genus_Acinos"
"Acipenser","Acipenser"
"genus_Acipenser","genus_Acipenser"
"Acipenseridae","Acipenseridae"
"family_Acipenseridae","family_Acipenseridae"
"Acnidosporidia","Acnidosporidia"
"subclass_Acnidosporidia","subclass_Acnidosporidia"
"Acocanthera","Acocanthera"
"genus_Acocanthera","genus_Acocanthera"
"Acokanthera","Acokanthera"
"genus_Acokanthera","genus_Acokanthera"
"Aconcagua","Aconcagua"
"Aconitum","Aconitum"
"genus_Aconitum","genus_Aconitum"
"Acoraceae","Acoraceae"
"subfamily_Acoraceae","subfamily_Acoraceae"
"Acorus","Acorus"
"genus_Acorus","genus_Acorus"
"Acrasiomycetes","Acrasiomycetes"
"class_Acrasiomycetes","class_Acrasiomycetes"
"acre","acre"
"Acre","Acre"
"Acre","Acre"
"Akko","Akko"
"Akka","Akka"
"Accho","Accho"
"Acrididae","Acrididae"
"family_Acrididae","family_Acrididae"
"Locustidae","Locustidae"
"family_Locustidae","family_Locustidae"
"Acridotheres","Acridotheres"
"genus_Acridotheres","genus_Acridotheres"
"Acris","Acris"
"genus_Acris","genus_Acris"
"Acrobates","Acrobates"
"genus_Acrobates","genus_Acrobates"
"Acrocarpus","Acrocarpus"
"genus_Acrocarpus","genus_Acrocarpus"
"Acrocephalus","Acrocephalus"
"genus_Acrocephalus","genus_Acrocephalus"
"Acroclinium","Acroclinium"
"genus_Acroclinium","genus_Acroclinium"
"Acrocomia","Acrocomia"
"genus_Acrocomia","genus_Acrocomia"
"Acropora","Acropora"
"genus_Acropora","genus_Acropora"
"Acrostichum","Acrostichum"
"genus_Acrostichum","genus_Acrostichum"
"Actaea","Actaea"
"genus_Actaea","genus_Actaea"
"Actias","Actias"
"genus_Actias","genus_Actias"
"Actifed","Actifed"
"Actinia","Actinia"
"genus_Actinia","genus_Actinia"
"actinia","actinia"
"actinian","actinian"
"actiniarian","actiniarian"
"Actiniaria","Actiniaria"
"order_Actiniaria","order_Actiniaria"
"Actinaria","Actinaria"
"order_Actinaria","order_Actinaria"
"Actinidia","Actinidia"
"genus_Actinidia","genus_Actinidia"
"Actinidiaceae","Actinidiaceae"
"family_Actinidiaceae","family_Actinidiaceae"
"Actiniopteris","Actiniopteris"
"genus_Actiniopteris","genus_Actiniopteris"
"Actinomeris","Actinomeris"
"genus_Actinomeris","genus_Actinomeris"
"Actinomycetaceae","Actinomycetaceae"
"family_Actinomycetaceae","family_Actinomycetaceae"
"Actinomycetales","Actinomycetales"
"order_Actinomycetales","order_Actinomycetales"
"Actinomyxidia","Actinomyxidia"
"order_Actinomyxidia","order_Actinomyxidia"
"Actinopoda","Actinopoda"
"subclass_Actinopoda","subclass_Actinopoda"
"Actitis","Actitis"
"genus_Actitis","genus_Actitis"
"Actium","Actium"
"Actium","Actium"
"Acts_of_the_Apostles","Acts_of_the_Apostles"
"Acts","Acts"
"Adad","Adad"
"Antalya","Antalya"
"Adalia","Adalia"
"Adalia","Adalia"
"genus_Adalia","genus_Adalia"
"Adam","Adam"
"Adam","Adam"
"Robert_Adam","Robert_Adam"
"Adam","Adam"
"ecstasy","ecstasy"
"XTC","XTC"
"go","go"
"disco_biscuit","disco_biscuit"
"cristal","cristal"
"X","X"
"hug_drug","hug_drug"
"Adam's_Peak","Adam's_Peak"
"Samanala","Samanala"
"Adam's_needle","Adam's_needle"
